molecule_id	affinity	steric_sum	hydrophobic_value	hydrogen_value	wnrot
9033206	-9.54177	-7.518580839829999	-0.8864268388500001	-2.25663516972	0.116
6395234	-9.81877	-11.58518260717	-1.9702953039100002	-0.8555579083800001	0.464
9327171	-9.45385	-8.90544087298	-1.30513386573	-2.0171774101500004	0.29000000000000004
27568440	0.0	0.0	-0.0	-0.0	0.232
6388495	-10.48089	-10.994203155270002	-1.8414844120800002	-1.32237218412	0.34800000000000003
7779702	-9.6501	-7.555223351410001	-1.5502710853900001	-1.95651258462	0.17400000000000002
9115215	-9.60519	-7.951913856200001	-1.4410251886600003	-2.4535329737400002	0.232
86653576	0.0	0.0	-0.0	-0.0	0.17400000000000002
72284079	-9.53268	-7.995596887950001	-1.1878087727800002	-2.03214535587	0.17400000000000002
7102813	-9.5677	-9.133321662750001	-1.8830215384400002	-1.34749695015	0.29000000000000004
9289677	-9.65214	-8.31488368421	-1.63027504716	-3.0982355274600004	0.34800000000000003
19935045	0.0	0.0	-0.0	-0.0	0.29000000000000004
79566132	0.0	0.0	-0.0	-0.0	0.34800000000000003
5753335	-9.58543	-6.49548321126	-0.9686155993200001	-5.765502306960001	0.406
21806109	-9.42952	-8.206801684610001	-0.37891844086000004	-2.2218470321400003	0.17400000000000002
7689946	-9.55384	-8.854471523940001	-1.2658127494800002	-2.7757667628000005	0.34800000000000003
45866503	-9.3746	-8.382919369019998	-1.9240119390900001	-1.8071738420400003	0.29000000000000004
5620336	-9.79881	-8.349205432250002	-0.7041995476000001	-1.89543655179	0.116
6419525	-9.65772	-8.597361187379999	-1.45534070515	-2.4295537137600003	0.29000000000000004
79214752	0.0	0.0	-0.0	-0.0	0.34800000000000003
16405489	0.0	0.0	-0.0	-0.0	0.464
78717257	0.0	0.0	-0.0	-0.0	0.406
9146957	-9.45115	-8.73503469706	-1.6698090322400003	-2.36446547256	0.34800000000000003
6443788	-9.71841	-10.87014972842	-1.79521051589	-1.03156638156	0.406
77314557	0.0	0.0	-0.0	-0.0	0.34800000000000003
9141293	-9.44377	-8.53947975645	-1.26527864861	-2.9554408553400005	0.34800000000000003
7179208	-9.96603	-8.51974742066	-1.5310062809300002	-1.66728699297	0.17400000000000002
88745328	0.0	0.0	-0.0	-0.0	0.34800000000000003
73791647	-9.72403	-7.87075809617	-1.48360176018	-2.64198927933	0.232
32356631	-9.32227	-8.80056020825	-0.96050203548	-1.19983828311	0.17400000000000002
31496699	-9.31029	-7.72177485884	-0.7704277047900001	-1.91287174131	0.116
9250857	-9.26052	-8.29402604655	-1.0383790624	-1.55080958805	0.17400000000000002
6220758	-9.3757	-8.53134041199	-1.5505607553300003	-1.4828135238000002	0.232
66650172	-9.45702	-7.799061878230001	-0.91485271818	-3.5162336223	0.29000000000000004
46402035	-9.48815	-8.87652286202	-1.30574792392	-2.9098379657700004	0.406
29540651	0.0	0.0	-0.0	-0.0	0.464
79000249	-9.40693	-7.98086818955	-1.291380856	-2.32851420576	0.232
42263204	-9.27885	-8.17789379448	-1.10610747141	-2.7112483374300003	0.29000000000000004
6067034	-9.41614	-8.17985235528	-1.5048725114400001	-1.9354705196400002	0.232
24737420	-9.55255	-7.53388882134	-1.30551506576	-2.94135994251	0.232
88221846	0.0	0.0	-0.0	-0.0	0.232
7935344	-9.28594	-8.514856132319998	-1.37902424873	-2.6489151851400004	0.34800000000000003
5802936	-9.45281	-8.13271558279	-0.89819389111	-1.5280580755800002	0.116
9135378	-9.93604	-9.01616543102	-1.9093467846700003	-1.9170543069900001	0.29000000000000004
80569562	0.0	0.0	-0.0	-0.0	0.17400000000000002
92537340	-9.74366	-8.5417707453	-0.90730271317	-1.4390199463500002	0.116
