x,y_smooth
0,8614.46261729272
1,8622.946120471004
2,8635.191706183849
3,8584.005650286368
4,8514.146201189415
5,8466.68661083527
6,8465.962970435714
7,8487.393199474152
8,8478.766421147042
9,8504.543739278408
10,8491.500958529745
11,8456.943295327248
12,8407.915144787452
13,8456.961255169848
14,8467.951266268625
15,8484.595197254397
16,8414.840581171266
17,8249.67430128026
18,8125.753909796067
19,7975.7559277559285
20,7932.747351426604
21,7945.334275046822
22,7870.42417515782
23,7747.262233880469
24,7641.914236705628
25,7540.625365754174
26,7381.654727069904
27,7844.800726464454
28,7779.016950861598
29,7687.171728381538
30,7650.317626878163
31,7535.489758852751
32,7479.69347189887
33,7468.225204317397
34,7454.025224496998
35,7339.1868630804065
36,7160.7313086459635
37,7019.559075773417
38,6924.231258196999
39,6895.427403893704
40,6777.267581474187
41,6697.698113206617
42,6622.06961961365
43,6546.639995963171
44,6486.662092623456
45,6437.027141558988
46,6419.783573805988
47,6432.1826253648605
48,6442.800928260633
49,6383.995964079427
50,6323.443143980558
51,6298.504389061783
52,6242.192916960084
53,6231.139743718232
54,6234.154777519061
55,6113.100292603328
56,6028.257491675078
57,6009.470588234459
58,6027.280496417283
59,5954.80617495629
60,5887.7497729787
61,5879.184239732812
62,5896.55514075188
63,5935.079003127013
64,5989.701846432423
65,6081.03198466266
66,6071.795883361077
67,6153.228836645297
68,6262.836545251879
69,6392.2675814742415
70,6512.166078094142
71,6592.219150437992
72,6671.642821106933
73,6701.513268085034
74,6638.424679647953
75,6569.644939964782
76,6561.78498637786
77,6643.316012510428
78,6677.7376652195335
79,6677.015941881828
80,6657.076682473094
81,6637.259913226804
82,6714.397538088058
83,6751.500151346049
84,6800.150842497289
85,6857.6282917960425
86,6926.0770860650255
87,6974.007668246433
88,7039.840782967442
89,7167.451922105756
90,7167.965291089711
91,7175.552920995876
92,7158.066794469797
93,7138.156896376772
94,7121.621531630532
95,7113.529815355687
96,7112.0020179588555
97,7132.155584702874
98,7175.341136110395
99,7087.740692159241
100,6958.476541215864
101,6891.102007869086
102,6864.1883765503535
103,6859.560891937298
104,6809.278074865364
105,6768.6717788306605
106,6716.902734334654
107,6629.765109473401
108,6592.708203005844
109,6563.969125213497
110,6500.770154373025
111,6401.802845322489
112,6424.880133184456
113,6439.395116536287
114,6438.214408232382
115,6439.016244575839
116,6466.716274845233
117,6503.816062959443
118,6539.031681968621
119,6568.355261829378
120,6491.416204216634
121,6363.460195741221
122,6239.462516395058
123,6142.627383714211
124,6029.311169406891
125,5928.150741599418
126,5822.669458176973
127,5732.214408232481
128,5666.71233982365
129,5597.27888204947
130,5469.071940267628
131,5362.894359801495
132,5306.3259005138425
133,5243.994652405689
134,5201.7420038334
135,5137.84199374361
136,5125.074765411456
137,5134.347593582175
138,5096.25426293946
139,5082.770154373222
140,5030.343456764511
141,4938.979618604903
142,4807.869034405547
143,4767.044092421897
144,4724.611240035666
145,4687.252345877666
146,4690.372111794324
147,4658.068610634
148,4635.92442740325
149,4619.264554534722
150,4597.143779638146
151,4581.6594692759245
152,4630.96892341778
153,4754.579154474165
154,4808.782968418261
155,4833.849258399086
156,4839.430329935762
157,4854.173140953821
158,4888.284734133112
159,4896.969730601681
160,4921.156290989125
161,4954.428009281927
162,5018.400665926051
163,5119.183432548981
164,5214.153062253336
165,5263.175764301559
166,5328.869639793427
167,5356.720310765072
168,5369.886893350077
169,5372.399455150096
170,5375.624659468531
