smiles,score
S(=O)(=O)(NCC(F)F)c1ccc(C(=O)NCCCSC)cc1,-6.6
n1n(c(=O)c2c(n1)cccc2)CCCn1cncc1,-7.2
N1(C(=O)NCC1=O)CC(=O)NC1c2nc(sc2CCC1)C,-7.4
C(=O)(N1CCN(c2ccc(NC(=O)c3cc(cc(c3)OC)OC)cc2)CC1)c1c(C)cccc1,-5.0
N1(c2c(C)cccc2)CCN(Cc2ccc(cc2)C)CC1,-7.4
C(=O)(Nc1ccc(SCCCC)cc1)COc1c(C)cccc1,-6.3
c1(nc(c2cc(c(c(c2)OC)OC)OC)cnn1)NC(C(O)(CC=C)CC=C)C,-7.2
s1c(nnc1SCC(=O)Nc1cc(c(cc1)C)Cl)SCc1c2c(ccc1)cccc2,-7.5
N1(C(=O)c2nc(nc(c2)C)C)[C@H](C(=O)NCC)C[C@H](NC(=O)C2CCC2)C1,-7.6
N1(C[C@@H]([C@H](C1)CCC)N(C)C)C(=O)CCc1ncccc1,-7.0
S(=O)(=O)(N1CCNCCC1)c1cc(C(=O)N2CCSCC2)ccc1,-8.2
n1(c(ncc1)C)CCC(=O)N[C@H]1[C@H](OCC=C(C)C)COCC1,-6.7
c1(c(OCC(CN2CCOCC2)O)c(OC)ccc1)CN(CC1CCCC1)C,-6.4
n1(nc(ccc1=O)c1ccc(cc1)F)CC(=O)Nc1sc(nn1)C1CC1,-7.8
n1(nccc1)c1ccc(CN(C(=O)Cc2cc(c(cc2)O)Cl)C)cc1,-8.1
N1(C(=O)C(=O)N(CC1)CCCC)C(C(=O)N(Cc1onc(c1)C)C)c1ccccc1,-7.4
N1(C(=O)C(c2c1cccc2)(CC(=O)c1cc(c(cc1)OC)OC)O)Cc1cc(c(cc1)OC)OC,-7.8
N1(CC(c2ccccc2)(c2ccccc2)CCC1)C(=O)CCN1CCN(CC1)C,-7.6
[N+](=O)(c1cc(c2oc(/C=C(/C#N)\c3c(F)cccc3)cc2)ccc1)[O-],-8.1
c1(C(=O)N[C@H]2[C@H](c3ccccc3)CCCC2)c(nc(o1)C)C,-7.6
C1(CC1)(N(CC(=O)NCc1ccc(NC(=O)C)cc1)C)COC,-7.1
c1(nc2c(o1)cccc2)c1c(c(NC(=O)c2c(C)cccc2)ccc1)C,-7.8
c1([N+](=O)[O-])c(N2CCOCC2)ccc(c1)C(=O)Nc1ccc(NC(=O)CCC)cc1,-7.5
n12c(cc(n1)CNc1ncccn1)CN(Cc1c(ccc(c1)O)OC)CC2,-8.3
c1(C2CN(C(=O)NC3CCCCC3)CCC2)n(ccn1)CCCN(C)C,-6.1
C1(=C(NC(=O)NC1c1c(ccc(c1)C)C)COc1ccc(cc1)C)C(=O)OCC,-8.0
N1(C(=O)C2C(C1=O)C1C=CC2C1)c1cc(C(=O)Nc2ccc(Oc3ccccc3)cc2)ccc1,-8.5
[N+](=O)(c1cc(c(NC(=O)CCOCC)cc1)OC)[O-],-6.0
[N+](=O)(c1c(ccc(c1)/C=C/C(=O)Nc1ccc(I)cc1)Cl)[O-],-7.9
C(=O)(Nc1c(cc(cc1)C)C)C(=O)NCC(C)C,-6.7
c1(c(c(Cl)ccc1)Cl)CN1CCCCCC1,-5.9
c1(sc(nn1)SCc1cc([N+](=O)[O-])ccc1OC)NC(=O)c1c(OC)cccc1,-7.6
C1(=CN(C=C(C1c1c(Cl)cccc1)C(=O)OC)c1ccccc1)C(=O)OC,-7.3
c1(nnn(c1)c1ccccc1)C(=O)N(Cc1nc(sc1)c1ccccc1)C,-7.9
C1(=C(C(=O)N(C1c1c(F)cccc1)CCCN(CC)CC)O)C(=O)c1ccc(cc1)OCC,-7.9
N1(C(=O)C(CC1=O)(CC(=O)O)c1ccccc1)CCn1cncc1,-7.6
C12(C(C1)C(=O)NCCC1=CCCCC1)CCN(Cc1cc3c(OCCO3)cc1)CC2,-8.5
N1([C@@H]2CN(CC[C@H]1CC2)C)Cc1nc2c([nH]1)cccc2,-8.4
n1c([nH]c2c1cc(cc2)C)c1ccc(NC(=O)C(F)(F)F)cc1,-8.6
n1c(oc(n1)CNC(=O)c1cc2c(N(CCO2)C)cc1)c1ccccc1,-8.9
C(CCC(=O)N(CC1CCN(CCc2c(F)cccc2)CC1)C)(F)(F)F,-7.2
n12c3c(nc1ccc(c2)C)CNC(=O)CC3c1c2ccn(c2ccc1)CC,-7.7
N1(CCN(CC(=O)Nc2cc(c(NC(=O)C)cc2)C)CC1)c1ccccc1,-7.8
c1(c(CN(C(=O)c2c(cc(cc2)OC)OC)Cc2occc2)cc2c(n1)cc(SC)cc2)N1CCC(CC1)O,-7.7
C12(C(=O)N(CCC2)CCOC)CN(C(=O)COc2ccc(F)cc2)CC1,-7.7
c1(ncc(CN2C[C@H]([C@H](CC2)N(C)C)CCCO)cn1)c1ccc(cc1)Cl,-7.1
